Copperhead relative	asp	They are different types of snakes.	http://en.wiktionary.org/wiki/copperhead , http://en.wiktionary.org/wiki/asp
Copycats	mimics
Corned beef sandwich	Reuben		
Corp. execs	VPs		
Cosmetic target	lips		
Cotillion	ball	The cotillion is a social dance, popular in 18th-century Europe and America.	https://en.wikipedia.org/wiki/Cotillion
Cotillion honorees	debs	In American usage, a cotillion is a formal ball and social gathering, often the venue for presenting debutantes during the debutante season - usually May through December.	https://en.wikipedia.org/wiki/Cotillion_ball
Counting-out start	eeny		
Cousteau's summer	ete		
Crowning point	Acme	It means the highest point or stage. For example, the acme of his fame.
Cut drastically	Slash
Danish dollar	Krone		http://en.wikipedia.org/wiki/Danish_krone
Date trees	palms		
Daunts	unnerves		
Day-to-Day events	Rotations		
Debtors' notes	IOUs		
Dele canceler	Stet	A dele is a proofreading symbol used to mark something for deletion. A dele can be undone with a stet.	http://en.wikipedia.org/wiki/Dele
Delhi attire	Saris
Demand	Exact		
Dilemma	Toughie		
Docs prescribe them	Meds
Donaldson or Waterston	Sam	Sam Donaldson is an American reporter and news anchor, Sam Waterston in an American actor, producer and director. 	http://en.wikipedia.org/wiki/Sam_Donaldson ; http://en.wikipedia.org/wiki/Sam_Waterston
Down Under rockers	acdc		
Dreaded exams	orals
Dust bunny	Lint		http://en.wikipedia.org/wiki/Dust_bunny
Dust collector	Rag
Eager (3 wds.)	Hot to trot	It means being ready and eager to engage in an activity.
Easy stride	lope		
Egoists have them	bigheads		
Enjoyable time (2 wds.)	Field Day		
Enough (3 wds.)	Cut it out
EPA concern	Emissions		
Equivocated	Hedged		
Ethiopia's _____ Selassie	Haile	Haile Selassie is a defining figure in both Ethiopian and African history.	
Explosive letters	TNT
Extreme edge	Verge		
Fall flower	Aster	Aster is a type of flower	
Family men	Daddies		
Feeling low	glum		
Fetch	Retrieve
FICA funds it	SSA	Federal Insurance Contribution Act (FICA) tax is a United States federal payroll (or employment) tax imposed on both employees and employers to fund Social Security and Medicate.	https://en.wikipedia.org/wiki/Federal_Insurance_Contributions_Act_tax
Fiery felony	Arson		
First stage	onset		
Flapjacks	pancakes	synonym	http://en.wikipedia.org/wiki/Pancake
Flight dir.	ESE
Flint or marble	Rock		
Forget it! (2 wds.)	Nothing Doing
Form droplets	Bead		
Found a total	Added		
Free	Untie		
Full moon and half-moon	phases
Galahad's weapon	Lance		
Gardening aftermath	backache		
Geography abbr.	Terr		
Geologist?	Fault Finder
George who was a she	Eliot	George Eliot is the pen name used by a famous female novelist Mary Ann Evans	http://en.wikipedia.org/wiki/George_Eliot
Gesture	sign		
Give autographs	sign		
Gives for a time	lends		
Gofer's tasks	errands	A Gofer is an employee who specializes in delivery of special items to their superior(s). The special items may be anything from a cup of coffee to a tailored suit or a car.	
Gorgeous guy	Hunk		http://en.wiktionary.org/wiki/hunk
Gravel supplier (2 wds.)	Dump Truck
Great ____; very tall dog	dane	The great dane is a German breed of domestic dog known for its giant size.	http://en.wikipedia.org/wiki/Great_Dane
Grimm's Fairy _____	tales	Grimms Fairy Tales is a collection of German fairy tales first published in 1812	http://en.wikipedia.org/wiki/Grimms%27_Fairy_Tales
gritty residue	silt		
Hail, to Caesar	ave		
Hair-raising	Eerie		
Happy sighs	Ahs
Hardens, as cement	sets
Harmful	Bad
Harmful thing	bane		
Hawaiian island	Oahu		
Heavy hydrogen discoverer	Urey	Deuterium was discovered and named in 1931 by Harold Urey.	http://en.wikipedia.org/wiki/Deuterium
Help-wanted abbr.	eoe	Equal Employment Opportunity	
Heroic tale	epic		
Hi-fi records	LPs		
Hindu god of fire	Agni
Hindu kingdom	Nepal		
Hindu mystics	Yogis
Hit a tennis ball in a high arc	lob		
Holds gently	cradles		
Honking birds	Geese		
Hoover's org.	FBI		
Horrifying	Appalling		
Houdini forte	Escape		
Hubbub	Ado		
Humdrum	Blah	Both words mean dull, boring	
Humerus neighbor	ulna		http://en.wikipedia.org/wiki/Humerus
I-70	Rte		
Idyllic place	Eden		
Igloo dweller	Inuit	same as eskimo	http://en.wikipedia.org/wiki/Inuit
Illogical   senseless
Impatient	Antsy		
Internet note	Email
Invited	Bade	To bid is to invite	http://en.wiktionary.org/wiki/bade , http://en.wiktionary.org/wiki/bid#English
Iota	Smidgen	A small amount of something. Ex:- add a smidgen of cayenne.
Island nation near Sicily	Malta
It brings tears to your eyes	Onion		
It has a crust	Earth
Jai ____	alai	Jai alai is a sport.	http://en.wikipedia.org/wiki/Jai_alai
JAMA readers	Drs	JAMA = Journal of American Medical Association	
Jib & spinmaker	sails		
Joule fractions	Ergs		
Just right	ideal
Kapitan's command (hyph.)	U-Boat	A military submarine operated by Germany in the First and the Second World Wars.	http://en.wikipedia.org/wiki/U-boat
Karachi language	Urdu
Kind of raise	merit		
Kind of relief	Comic		
Kinda drift	continental		
Knighted woman	Dame		
Lady of Spain	Dona		
Lama's art work (2 wds.)	sand mandala		
Land	acreage
Late Arnaz	Desi	Desi Arnaz is a Cuban-born American musician, actor and television producer. He acted in "I Love Lucy".	
Latin dance	Chacha		
Leaning	atilt		
Lettuce concoctions	salads		
Like a give-and-take relationship   reciprocal
Like a mule	balky	Here is an interesting read on balky mules - http://www.ruralheritage.com/mule_paddock/mule_balky.htm	
Lion's den	Lair		
Litter	trash
loaded for ____	bear	The expression "loaded for bear" means to be fully prepared for action and ready for hardest problems.	
Londoner's umbrella	gamp		
Look of loathing	sneer		
Lower prices	slash		
Lunchbox partner	Thermos		
Machu Picchu locale	Peru	Machu Picchu is a mountain in Peru.	http://en.wikipedia.org/wiki/Machu_Picchu
Makes furious	Enrages		
Male child	Son		
March 15, in Rome	Ides		
Marring	Defacing
McEntire of music	Reba	Reba McEntire is an American country music singer, songwriter and actress.	http://en.wikipedia.org/wiki/Reba_McEntire
Medicinal plants	Herbs
Melville work	Omoo	"Omoo: A Narrative of Adventures in the South Seas" is the second book by American writer Herman Melville	http://en.wikipedia.org/wiki/Omoo
Mideast power	Iran
miff	rile	They are synonyms. To miff is to offend slightly, to rile is to make angry.	https://en.wiktionary.org/wiki/miff, https://en.wiktionary.org/wiki/rile
Mild expletive	Drat		
Mild oath	Gosh		
Missing spaces	gaps		
Mississippi port	Natchez	A city located on the Mississippi river in Mississippi	http://en.wikipedia.org/wiki/Natchez,_Mississippi
Mood	Humor		
Moon goddess	Selene	In Greek mythology, Selene is the goddess of the moon.	https://en.wikipedia.org/wiki/Selene
Mopped up	Swabbed
More arrogant	Haughtier		
More ill-mannered	Ruder		
Mornings, for short	ams		
Most droll	Driest		
Mountain Curve	ess	ess means "something shaped like s"	
Move to and ___	fro
Movie of a whale	orca	Orca means killer whale	
Mr. Crockett	Davy	David Crockett was a 19th-century American folk hero, frontiersman, soldier, and politician.	http://en.wikipedia.org/wiki/Davy_Crockett
Mr. Van Halen	Eddie	Eddie Van Halen is often considered one of the world's greatest guitarists	
Ms. Zellweger	Renee
Muscel quality	tone		
Nail shapers	Files
Napped leather	Suede		
NASA counterpart	ESA	It stands for European Space Agency	https://en.wikipedia.org/wiki/European_Space_Agency
Near empty	Low		
Neutral shade	Ecru		
No. on a bank statement	acct
Nonsense	Baloney
Nope (hyph.)	Uhuh		
Not chubby	slim
Not her	him
Not just snacks	repasts		
Not taut	loose		
Numero ___	Uno
Oblong fruit	Mango
Old MacDonald's refrain	eieio	This refers to the children's rhyme. A refrain is the line or the lines that are repeated in music or in verse; the chorus of a song.	
Old masters	Oils	"Old Master" (or "old master") is a European painter of skill who worked before about 1800, or a painting by such an artist.	http://en.wikipedia.org/wiki/Old_Master
Organic compound	Ester		
Overwhelming anxiety	Panic		
Own up to	Admit		
Part of a train (2 wds.)	Club car
Parting word	Adieu		
Pause fillers	ers		
Perfumed pouches	sachets
Pickle or salt	Cure	Curing meat, fish and vegetables is a process to preserve food and add flavour to it.	http://en.wikipedia.org/wiki/Curing_%28food_preservation%29
Piece of sugar	Lump		
Pitcher	Ewer		
Pivotal point	Crux		
Place for socks & undies	drawer
Planet warmer	Sun
Plato's "T"	tau
Pocket contents	lint		
Pointillism feature	Dots		
Poker cards	Aces
Polar Explorer	Scott		
Political gathering	Caucus		
Pond floaters (2 wds.)	Lily Pads
Pork selection	loin		
Port near Kyoto	Osaka	Osaka is Japan's third largest city by population	http://en.wikipedia.org/wiki/Osaka
Precious	dear		
Predicament	mess		
Prefix for "dent"	tri		
Prefix for "dynamic"	Aero		
Prepare eggs	boil		
Pretty soon	anon	synonym	http://en.wiktionary.org/wiki/anon
Primitive weapon	spear
Profs, usually	PhDs		
Prolonged gaze	Stare
Prompted	Cued		
Pry open	Jimmy		http://en.wiktionary.org/wiki/jimmy#Verb
Purr-fect companions (2 wds.)	Kitty Cats
Puts in order	sorts		
Raced off	dashed		
Radar screen image	blip		
Radius companion	Ulna	Radius and Ulna are bones in the forearm. When in anatomical position, Ulna is the one closest to the body. Ulna runs parallel to the radius and is the larger and longer of the two.	https://en.wikipedia.org/wiki/Ulna
Raj title	sahib
Real stinkers	Skunks		
Red ink	Debt		
Redding of soul	Otis	Otis Redding was an American singer.	http://en.wikipedia.org/wiki/Otis_Redding
Reddish mineral	jasper		
Relinquished	ceded		
Rene of "Tin Cup"	Russo	Rene Russo is the heroine in the Tin Cup, a romantic comedy film.	
Resided	Dwelt		
Reviving a battery (hyph.)	Jump starting
Ring out	peal		
Roll tightly	Furl	To lower, roll up and secure (something, such as a sail or flag)	http://en.wiktionary.org/wiki/furl
Rose Kennedy's youngest	Ted	Ted Kennedy is the youngest brother of President John F. Kennedy	http://en.wikipedia.org/wiki/Ted_Kennedy
Roughs it	Camps		
Round stoppers	tkos		
Rust or patina	Oxide		
Rustics	Bumpkins	rustic means an unsophisticated country person. Both rustic and bumpkin are synonyms.
Salon employee	Stylist
San _____, Calif.	Pedro	San Pedro is a community within the City of Los Angeles, California.	http://en.wikipedia.org/wiki/San_Pedro,_Los_Angeles
Seafood garnish	Lemon		
Selling on the street   peddling
Sheriff Taylor's kid	Opie	Opie Taylor is the son of Andy Taylor in the "The Andy Griffith Show"	http://en.wikipedia.org/wiki/Opie_Taylor
Sherpa's sighting	Yeti		
Ship's boom	spar		
Short on cash (3 wds.)	Feeling the Pinch
Shrink's reply (2 wds.)	I see
sin wrongdoing
Sioux City, ____	Iowa	Sioux City is the fourth largest city in Iowa.	
Slowest	Pokiest	poky means slow	http://en.wiktionary.org/wiki/poky#English
Slumbering	Asleep
smacks	kisses	To smack is to kiss with a close compression of the lips, so as to make a sound when they separate.	
Small crown	Coronet		
Sorority sisters	Coeds		
Sounded sheepish	baaed	baa is a characteristic cry of a sheep.	http://en.wiktionary.org/wiki/baa#English
Sour, as cream	Clot	Clotted cream is a thick cream made from cow's milk.	http://en.wikipedia.org/wiki/Clotted_cream
Sparkling	gemlike
Spinks defeater	Ali	Leon Spinks is an American former boxer	http://en.wikipedia.org/wiki/Leon_Spinks
Square root of IX	III
St. Joan of ___	Arc		
Stiffly formal	prim		
Storage tower	silo		
Strong silent type?	Macho
Suggest indirectly  insinuate
Swamp hazard	quicksand
Swiss painter Paul ____	Klee		http://en.wikipedia.org/wiki/Paul_Klee
Take a chair	sit		
Talking big	boasting
Tel - ____	Aviv
Tex-Mex snack	taco		
The "Odyssey" or the "lliad"	epic		
Thing	Article
Those guys	them
Tibia   shinbone    The tibia is also known as shinbone or shankbone. It is the second largest bone in the human body. It is the larger, stronger, and anterior (frontal) of the two bones in the leg below the knee in vertebrates. It connects the knee with the ankle bones. https://en.wikipedia.org/wiki/Tibia
Tidy (2 wds.)	In order
Tire ridge pattern	tread		
Tokyo, to shoguns	Edo	A shogun was the military dictator of Japan during the period from 1185 to 1868 (with exceptions). Edo is the former name of Tokyo.
Tolerates	Lets		
Too much	Excess		
Took out text	deleted		
Toshiba rival	NEC		
Tough it out (3 wds.)	Weather the storm
Toys on strings (hyph.)	yoyos		
Trail mix	gorp		
Train sation	Depot		
Trip ____; stumble into	over		
Tropical fruits pineapples
Turned sharply	Veered		
Twiddling one's thumbs	Idle		
Twining plant (2 wds.)	Morning Glory
Tyke	Tot	Both refer to a small child	http://en.wiktionary.org/wiki/tyke , http://en.wiktionary.org/wiki/tot
Umbrellas	Parasols	Umbrellas protects from rain while Parasols protect from rain	http://en.wikipedia.org/wiki/Umbrella
Unbending	rigid		
Unending	ceaseless		
Uneven	streaky		
Unisex garment	vest
Unproven charge allegation
Unseen winter hazard (2 wds.)	Black ice
Up and about	Risen		
Up until now; so far	yet		
Upscale wheels	Porsche
Valhalla honcho	Odin	In Norse mythology, Valhalla is a majestic, enormous hall located in Asgard, ruled over by the god Odin.	http://en.wikipedia.org/wiki/Valhalla
Vaudeville show	Revue	A revue is a type of multi-act popular theatrical entertainment that combines music, dance and sketches.	http://en.wikipedia.org/wiki/Revue
Vexation	Annoyance
Video-game pioneer	Atari
Violent wind	Gale		
Warble	Sing	One meaning of warble is to sing like a bird, especially with trills	http://en.wiktionary.org/wiki/warble
Warty critter	Toad	Critter means creature.
Wash very hard	scrub
Weather prognosticator (2 wds.)	Wolly Bear
Weed whacker	hoe	It is a type of agricultural tool used for weed control	http://en.wikipedia.org/wiki/Hoe_%28tool%29
Wharf	Pier	A wharf is a place where ships may dock to load and unload cargo or passengers.	http://en.wikipedia.org/wiki/Wharf
What bread needs to be	kneaded
When You Wish ____ a Star	upon		
Willowy	Slender	a willowy person is someone tall, slender and graceful
Winding curves	Esses	Sequences of alternating turns on a road course, resembling the letter 'S'.	http://en.wikipedia.org/wiki/Glossary_of_motorsport_terms#E
Windy City trains	els		http://en.wikipedia.org/wiki/Chicago_%27L%27
Wines & dines	woos		
Wire nail	Brad    Brads are small, thin, tapered, nails with a lip or projection to one side rather than a full head		
Witch, to Shakespeare	Hag		
With, to Maurice	Avec		
Wood cutter	Hatchet	A type of axe with sharp blade on one side and hammer head on the other	http://en.wikipedia.org/wiki/Hatchet
Writer ____ Rice	Anne	Anne Rice is an American author of gothic fiction, Christian literature, and erotica.	http://en.wikipedia.org/wiki/Anne_Rice
Writer's submission	manuscript
Yachting	asea	synonym	http://en.wiktionary.org/wiki/asea
Yield territory	cede		
Young horse	Colt		
Zahn or Abdul	Paula	Paula Zahn is an American journalist and newscaster. Paula Abdul is an American-Canadian singer-songwriter, dancer, choreographer, actress and television personality.	http://en.wikipedia.org/wiki/Paula_Zahn , http://en.wikipedia.org/wiki/Paula_Abdul
Zero	none		
Zillions	Many		
Zinc, e.g. (2 wds.)	Trace Element
Zookeeper's favorite pastry? (2 wds.)	Elephant Ear
__ _ roll (lucky)	On a
___ Maria (coffee liquer)	Tia	Tia Maria is a coffee liqueur made originally in Jamaica using Jamaican coffee beans.	http://en.wikipedia.org/wiki/Tia_maria
___ up; spend	use		
____ Cristo	Monte
____ suey; Chinese dish	Chop		
____-carotene	Beta
____-highs; long socks	knee		
____-present	ever		
_____ Oberon of films	Merle	Merle Oberon was an Anglo-Indian actress.	https://en.wikipedia.org/wiki/Merle_Oberon
_____ on; yanks	pulls		
_____ over; faints	keels		
______ counter (radiation detector)	Geiger		
